"","X","연번","호선","역번호","역명","경로","장애","유공자","total","ratio","elevator","moving.walk","wheelchair.lift","facility.total"
"1",6,6,"1호선",155,"동대문",1140455,195115,9997,3863207,0.0505059656394286,3,0,0,3
"2",10,10,"1호선",159,"동묘앞",1453014,255207,16830,3196812,0.0798317198509015,7,0,0,7
"3",1,1,"1호선",150,"서울역",1738809,407971,31156,15575611,0.0261929371502665,4,0,1,5
"4",2,2,"1호선",151,"시청",814078,161447,13011,7472550,0.0216053422191889,3,0,0,3
"5",7,7,"1호선",156,"신설동",1127890,185365,10236,4469939,0.0414692460008962,5,0,5,10
"6",8,8,"1호선",157,"제기동",2764406,316144,20239,5722256,0.0552481398944752,3,0,0,3
"7",3,3,"1호선",152,"종각",1283102,242896,18474,11310258,0.0214757258410905,4,0,0,4
"8",4,4,"1호선",153,"종로3가",2917042,418217,40317,8664503,0.0482678579486902,3,0,0,3
"9",5,5,"1호선",154,"종로5가",2514663,324073,25307,7523301,0.0430759051113334,3,0,0,3
"10",9,9,"1호선",158,"청량리(서울시립대입구)",2518370,358409,24996,6740177,0.0531750130597461,2,0,2,4
"11",32,32,"2호선",222,"강남",1502130,289561,18796,26144333,0.0110754785750319,4,0,0,4
"12",24,24,"2호선",214,"강변(동서울터미널)",1108865,176153,13134,10719336,0.0164332007131785,2,0,0,2
"13",22,22,"2호선",212,"건대입구",814066,176796,9311,12276102,0.0144016398690724,2,0,0,2
"14",33,33,"2호선",223,"교대(법원.검찰청)",1470699,172029,19629,10343221,0.0166320530132731,3,0,0,3
"15",42,42,"2호선",232,"구로디지털단지",1583225,333570,21660,18450835,0.0180788565937531,4,0,0,4
"16",23,23,"2호선",213,"구의(광진구청)",943396,184944,9799,7648342,0.0241809270558246,2,0,0,2
"17",37,37,"2호선",227,"낙성대(강감찬)",988818,172938,10738,9096160,0.0190121985541151,3,0,0,3
"18",47,47,"2호선",237,"당산",538462,105889,7697,5923065,0.0178773996233369,4,0,0,4
"19",43,43,"2호선",233,"대림(구로구청)",1131352,210009,10309,7930367,0.0264816243687083,4,0,0,4
"20",57,57,"2호선",247,"도림천",78620,11173,546,427085,0.0261610686397321,2,0,0,2
"21",15,15,"2호선",205,"동대문역사문화공원(DDP)",513105,94871,5108,4244705,0.0223504342469029,3,0,0,3
"22",20,20,"2호선",210,"뚝섬",526904,120276,6682,7153238,0.0168142035816507,4,0,0,4
"23",45,45,"2호선",235,"문래",817501,140051,8608,6777238,0.0206649080348071,4,0,0,4
"24",35,35,"2호선",225,"방배",711065,91231,9275,5522010,0.0165213391500559,3,0,0,3
"25",39,39,"2호선",229,"봉천",1336497,264921,13300,7781007,0.0340471355442811,2,0,0,2
"26",36,36,"2호선",226,"사당",1875656,261848,24118,12733082,0.020564384961944,3,0,0,3
"27",29,29,"2호선",219,"삼성(무역센터)",1081634,201055,14439,16806757,0.0119627480780498,5,0,1,6
"28",17,17,"2호선",207,"상왕십리",606556,124573,5944,4609692,0.0270241482511196,3,0,0,3
"29",38,38,"2호선",228,"서울대입구(관악구청)",1686166,288046,19858,15608934,0.0184539187621653,3,0,0,3
"30",34,34,"2호선",224,"서초",778491,107499,11079,6901316,0.0155765943770724,4,0,0,4
"31",30,30,"2호선",220,"선릉",2038522,305178,22195,16891665,0.0180667802729926,3,0,0,3
"32",21,21,"2호선",211,"성수",858528,283516,10200,11755273,0.0241181978504455,4,0,0,4
"33",11,11,"2호선",201,"시청",504015,104173,8188,7275581,0.0143181692293715,2,0,0,2
"34",55,55,"2호선",245,"신답",91964,15785,293,538208,0.0293288096795291,2,0,0,2
"35",16,16,"2호선",206,"신당",899522,148088,10052,4642230,0.0319001859020342,3,0,0,3
"36",41,41,"2호선",231,"신대방",1140420,223754,13376,8541409,0.0261963804800824,3,0,0,3
"37",44,44,"2호선",234,"신도림",1831750,357505,25068,15966447,0.0223910178638992,4,0,0,4
"38",40,40,"2호선",230,"신림",1943248,402867,21291,19946559,0.0201973182442145,3,0,0,3
"39",56,56,"2호선",246,"신설동",308356,55892,3222,1227373,0.0455379090138043,2,0,6,8
"40",59,59,"2호선",249,"신정네거리",663789,111939,6652,3368981,0.0332263672606049,3,0,1,4
"41",50,50,"2호선",240,"신촌",1103965,223145,10000,11891857,0.0187645209659013,4,0,0,4
"42",52,52,"2호선",242,"아현",599902,105605,5833,3423989,0.0308426808614163,4,0,0,4
"43",58,58,"2호선",248,"양천구청",458205,72471,3241,2220039,0.0326440211185479,3,0,0,3
"44",31,31,"2호선",221,"역삼",1356019,258757,19185,15238648,0.0169803121641762,4,0,0,4
"45",46,46,"2호선",236,"영등포구청",886881,203373,11127,6866166,0.0296195868261851,4,0,0,4
"46",18,18,"2호선",208,"왕십리(성동구청)",466534,112962,6193,5491008,0.0205721790971712,2,0,0,2
"47",54,54,"2호선",244,"용답",169194,27057,1190,979182,0.0276322481418163,0,0,2,2
