"","X.1","X","연번","호선","역번호","역명","경로","장애","유공자","total","ratio","elevator","moving.walk","wheelchair.lift","facility.total","lat","long","district","neighborhood","neigh.lat","neigh.long"
"3",3,1,1,"1호선",150,"서울역",1738809,407971,31156,15575611,0.0261929371502665,4,0,1,5,37.556228,126.972135,"중구","중림동",37.5548629,126.9644863
"4",4,2,2,"1호선",151,"시청",814078,161447,13011,7472550,0.0216053422191889,3,0,0,3,37.565715,126.977088,"중구","소공동",37.562442,126.977025
"7",7,3,3,"1호선",152,"종각",1283102,242896,18474,11310258,0.0214757258410905,4,0,0,4,37.570161,126.982923,"종로구","종로1.2.3.4가동",37.574461,126.9902618
"8",8,4,4,"1호선",153,"종로3가",2917042,418217,40317,8664503,0.0482678579486902,3,0,0,3,37.570406,126.991847,"중구","을지로동",37.5667163,126.9913342
"9",9,5,5,"1호선",154,"종로5가",2514663,324073,25307,7523301,0.0430759051113334,3,0,0,3,37.570926,127.001849,"종로구","종로5.6가동",37.5720148,127.0050414
"1",1,6,6,"1호선",155,"동대문",1140455,195115,9997,3863207,0.0505059656394286,3,0,0,3,37.571687,127.01093,"종로구","창신2동",37.574458,127.010863
"5",5,7,7,"1호선",156,"신설동",1127890,185365,10236,4469939,0.0414692460008962,5,0,5,10,37.576048,127.024634,"종로구","숭인2동",37.574867,127.019988
"6",6,8,8,"1호선",157,"제기동",2764406,316144,20239,5722256,0.0552481398944752,3,0,0,3,37.578103,127.034893,"동대문구","용신동",37.5758185,127.0372169
"10",10,9,9,"1호선",158,"청량리(서울시립대입구)",2518370,358409,24996,6740177,0.0531750130597461,2,0,2,4,37.579956,127.044585,"동대문구","전농1동",37.5779984,127.0477575
"2",2,10,10,"1호선",159,"동묘앞",1453014,255207,16830,3196812,0.0798317198509015,7,0,0,7,37.573197,127.01648,"종로구","창신1동",37.570758,127.016363
"33",33,11,11,"2호선",201,"시청",504015,104173,8188,7275581,0.0143181692293715,2,0,0,2,37.563588,126.975411,"중구","소공동",37.562442,126.977025
"51",51,12,12,"2호선",202,"을지로입구",886569,188912,14040,13029934,0.0144983082799959,4,0,0,4,37.566014,126.982618,"중구","소공동",37.562442,126.977025
"49",49,13,13,"2호선",203,"을지로3가",704915,121926,10032,7155291,0.017039977828994,2,0,0,2,37.566306,126.991696,"중구","을지로동",37.5667163,126.9913342
"50",50,14,14,"2호선",204,"을지로4가",787044,106902,9586,4084702,0.0261713094370165,3,0,0,3,37.566595,126.997817,"중구","을지로동",37.5667163,126.9913342
"35",35,16,16,"2호선",206,"신당",899522,148088,10052,4642230,0.0319001859020342,3,0,0,3,37.56564,127.019614,"중구","신당5동",37.565142,127.02185
"28",28,17,17,"2호선",207,"상왕십리",606556,124573,5944,4609692,0.0270241482511196,3,0,0,3,37.564354,127.029354,"성동구","왕십리2동",37.561108,127.030488
"46",46,18,18,"2호선",208,"왕십리(성동구청)",466534,112962,6193,5491008,0.0205721790971712,2,0,0,2,37.561238,127.036954,"성동구","행당1동",37.558567,127.036188
"58",58,19,19,"2호선",209,"한양대",113536,31288,2566,3403307,0.00919341099700967,2,0,1,3,37.555273,127.043655,"성동구","사근동",37.5614846,127.0453315
"22",22,20,20,"2호선",210,"뚝섬",526904,120276,6682,7153238,0.0168142035816507,4,0,0,4,37.547184,127.047367,"성동구","성수1가2동",37.5462991,127.0443325
"32",32,21,21,"2호선",211,"성수",858528,283516,10200,11755273,0.0241181978504455,4,0,0,4,37.544581,127.055961,"성동구","성수2가3동",37.5482223,127.0552645
"13",13,22,22,"2호선",212,"건대입구",814066,176796,9311,12276102,0.0144016398690724,2,0,0,2,37.540373,127.069191,"광진구","화양동",37.5465421,127.0713152
"16",16,23,23,"2호선",213,"구의(광진구청)",943396,184944,9799,7648342,0.0241809270558246,2,0,0,2,37.537077,127.085916,"광진구","자양1동",37.534508,127.082438
"12",12,24,24,"2호선",214,"강변(동서울터미널)",1108865,176153,13134,10719336,0.0164332007131785,2,0,0,2,37.535095,127.094681,"광진구","구의3동",37.5380706,127.0920204
"54",54,25,25,"2호선",215,"잠실나루",797527,111990,10281,4534929,0.0246949841993116,2,0,0,2,37.520733,127.10379,"송파구","잠실6동",37.518142,127.10065
"53",53,26,26,"2호선",216,"잠실(송파구청)",1807569,347635,27374,25040626,0.0138828398299627,4,0,1,5,37.513262,127.100159,"송파구","잠실3동",37.513333,127.094375
"55",55,27,27,"2호선",217,"잠실새내",1046368,122626,10269,7176265,0.0170877190293279,4,0,0,4,37.511687,127.086162,"송파구","잠실2동",37.5119488,127.088559
"56",56,28,28,"2호선",218,"종합운동장",459303,67047,6049,3867994,0.0173337911072251,3,0,0,3,37.511022,127.073704,"송파구","잠실7동",37.5086777,127.0771146
"27",27,29,29,"2호선",219,"삼성(무역센터)",1081634,201055,14439,16806757,0.0119627480780498,5,0,1,6,37.508844,127.06316,"강남구","삼성1동",37.5144424,127.062532
"31",31,30,30,"2호선",220,"선릉",2038522,305178,22195,16891665,0.0180667802729926,3,0,0,3,37.504286,127.048203,"강남구","삼성2동",37.5112,127.04595
"44",44,31,31,"2호선",221,"역삼",1356019,258757,19185,15238648,0.0169803121641762,4,0,0,4,37.500622,127.036456,"강남구","역삼1동",37.4954841,127.0333574
"11",11,32,32,"2호선",222,"강남",1502130,289561,18796,26144333,0.0110754785750319,4,0,0,4,37.49799,127.027912,"강남구","역삼1동",37.4954841,127.0333574
"14",14,33,33,"2호선",223,"교대(법원.검찰청)",1470699,172029,19629,10343221,0.0166320530132731,3,0,0,3,37.493961,127.014667,"서초구","서초1동",37.4901186,127.0195082
"30",30,34,34,"2호선",224,"서초",778491,107499,11079,6901316,0.0155765943770724,4,0,0,4,37.491897,127.007917,"서초구","반포4동",37.4974314,127.0003853
"24",24,35,35,"2호선",225,"방배",711065,91231,9275,5522010,0.0165213391500559,3,0,0,3,37.481426,126.997596,"서초구","방배1동",37.4832801,126.9945569
"26",26,36,36,"2호선",226,"사당",1875656,261848,24118,12733082,0.020564384961944,3,0,0,3,37.476538,126.981544,"관악구","남현동",37.4745394,126.9778366
"29",29,38,38,"2호선",228,"서울대입구(관악구청)",1686166,288046,19858,15608934,0.0184539187621653,3,0,0,3,37.481247,126.952739,"관악구","행운동",37.4806541,126.9570456
"25",25,39,39,"2호선",229,"봉천",1336497,264921,13300,7781007,0.0340471355442811,2,0,0,2,37.482362,126.941892,"관악구","은천동",37.4853086,126.9424278
"38",38,40,40,"2호선",230,"신림",1943248,402867,21291,19946559,0.0201973182442145,3,0,0,3,37.484201,126.929715,"관악구","신원동",37.4815883,126.9273519
"36",36,41,41,"2호선",231,"신대방",1140420,223754,13376,8541409,0.0261963804800824,3,0,0,3,37.487462,126.913149,"동작구","신대방1동",37.488943,126.91005
"15",15,42,42,"2호선",232,"구로디지털단지",1583225,333570,21660,18450835,0.0180788565937531,4,0,0,4,37.485266,126.901401,"관악구","조원동",37.4826299,126.9078649
"19",19,43,43,"2호선",233,"대림(구로구청)",1131352,210009,10309,7930367,0.0264816243687083,4,0,0,4,37.493243,126.894932,"영등포구","대림2동",37.4927521,126.8982938
"37",37,44,44,"2호선",234,"신도림",1831750,357505,25068,15966447,0.0223910178638992,4,0,0,4,37.508961,126.891084,"영등포구","도림동",37.509475,126.89595
"23",23,45,45,"2호선",235,"문래",817501,140051,8608,6777238,0.0206649080348071,4,0,0,4,37.517933,126.89476,"영등포구","문래동",37.517086,126.899466
"45",45,46,46,"2호선",236,"영등포구청",886881,203373,11127,6866166,0.0296195868261851,4,0,0,4,37.525706,126.89661,"영등포구","당산1동",37.5249643,126.897443
"18",18,47,47,"2호선",237,"당산",538462,105889,7697,5923065,0.0178773996233369,4,0,0,4,37.534946,126.902767,"영등포구","당산2동",37.5310483,126.8973273
"59",59,48,48,"2호선",238,"합정",620908,133228,7959,10613327,0.0125528969379724,4,0,0,4,37.549457,126.913808,"마포구","합정동",37.5516561,126.9118888
"60",60,49,49,"2호선",239,"홍대입구",836743,213641,11609,20953932,0.0101957475093457,2,0,0,2,37.55679,126.923708,"마포구","서교동",37.5551015,126.914588
"41",41,50,50,"2호선",240,"신촌",1103965,223145,10000,11891857,0.0187645209659013,4,0,0,4,37.555131,126.936926,"마포구","대흥동",37.5557827,126.9424619
"52",52,51,51,"2호선",241,"이대",439180,83292,3087,4760922,0.017494930603778,3,0,0,3,37.556733,126.946013,"마포구","대흥동",37.5557827,126.9424619
