"","동별.1.","동별.2.","동별.3.","계","남자","여자","pop","ratio"
"417","합계","강남구","개포1동",221,140,81,6922,0.0319271886737937
"426","합계","강남구","개포2동",558,336,222,29032,0.0192201708459631
"406","합계","강남구","개포3동",1181,617,564,17382,0.0679438499597285
"418","합계","강남구","개포4동",619,368,251,23639,0.0261855408435213
"407","합계","강남구","논현1동",548,338,210,22080,0.0248188405797101
"408","합계","강남구","논현2동",482,298,184,20814,0.02315749015086
"411","합계","강남구","대치1동",279,164,115,23846,0.011700075484358
"425","합계","강남구","대치2동",604,387,217,37098,0.0162812011429188
"412","합계","강남구","대치4동",369,210,159,19491,0.0189318146837002
"415","합계","강남구","도곡1동",383,217,166,21274,0.0180031963899596
"416","합계","강남구","도곡2동",497,315,182,32846,0.015131218413201
"409","합계","강남구","삼성1동",292,185,107,12739,0.0229217364000314
"410","합계","강남구","삼성2동",588,371,217,31062,0.0189298821711416
"422","합계","강남구","세곡동",1927,1133,794,43382,0.0444193444285648
"404","합계","강남구","소계",15158,8798,6360,534103,0.0283802936886705
"421","합계","강남구","수서동",2069,1151,918,14402,0.14366060269407
"405","합계","강남구","신사동",395,225,170,15876,0.0248803224993701
"423","합계","강남구","압구정동",500,289,211,25902,0.0193035286850436
"413","합계","강남구","역삼1동",706,415,291,35556,0.0198560017999775
"414","합계","강남구","역삼2동",675,409,266,37269,0.0181115672542864
"420","합계","강남구","일원1동",1077,606,471,14987,0.0718622806432241
"419","합계","강남구","일원본동",703,343,360,23015,0.030545296545731
"424","합계","강남구","청담동",479,276,203,25489,0.0187924202597199
"474","합계","강동구","강일동",1661,947,714,33057,0.0502465438485041
"460","합계","강동구","고덕1동",696,416,280,23919,0.0290982064467578
"461","합계","강동구","고덕2동",800,486,314,22764,0.0351432085749429
"473","합계","강동구","길동",1988,1214,774,45374,0.0438136377661216
"469","합계","강동구","둔촌1동",3,2,1,73,0.0410958904109589
"470","합계","강동구","둔촌2동",925,562,363,24277,0.0381019071549203
"458","합계","강동구","명일1동",816,481,335,25641,0.0318240318240318
"459","합계","강동구","명일2동",456,279,177,17327,0.0263173082472442
"475","합계","강동구","상일1동",1084,651,433,39178,0.0276685895145235
"476","합계","강동구","상일2동",662,377,285,11933,0.0554764099555854
"466","합계","강동구","성내1동",629,397,232,19900,0.031608040201005
"467","합계","강동구","성내2동",1075,662,413,23528,0.0456902414144849
"468","합계","강동구","성내3동",913,559,354,23071,0.0395734905292358
"457","합계","강동구","소계",18785,11254,7531,464037,0.0404816857276467
"471","합계","강동구","암사1동",1692,1028,664,34271,0.0493711884683843
"462","합계","강동구","암사2동",507,293,214,15069,0.0336452319331077
"463","합계","강동구","암사3동",558,304,254,17481,0.0319203706881757
"464","합계","강동구","천호1동",1411,847,564,26670,0.0529058867641545
"472","합계","강동구","천호2동",1648,999,649,33825,0.0487213599408721
"465","합계","강동구","천호3동",1256,747,509,26679,0.0470782263203268
"156","합계","강북구","미아동",1150,645,505,21685,0.053032049804012
"149","합계","강북구","번1동",992,609,383,18578,0.053396490472602
"150","합계","강북구","번2동",1335,739,596,15397,0.0867052023121387
"151","합계","강북구","번3동",1992,1084,908,16449,0.121101586722597
"159","합계","강북구","삼각산동",1266,681,585,30939,0.0409192281586347
"155","합계","강북구","삼양동",1302,784,518,23090,0.056388046773495
"148","합계","강북구","소계",17186,9755,7431,297702,0.0577288698094067
"157","합계","강북구","송중동",1379,818,561,29910,0.0461049816115012
"158","합계","강북구","송천동",1480,851,629,25998,0.0569274559581506
"152","합계","강북구","수유1동",1257,734,523,20501,0.0613140822398907
"153","합계","강북구","수유2동",1088,592,496,21054,0.0516766410183338
"154","합계","강북구","수유3동",1136,642,494,23778,0.0477752544368744
"160","합계","강북구","우이동",1037,575,462,20407,0.0508158965061008
"161","합계","강북구","인수동",1770,1000,770,29916,0.0591656638588047
"283","합계","강서구","가양1동",779,464,315,34359,0.0226723711400215
"284","합계","강서구","가양2동",2422,1419,1003,13902,0.174219536757301
"285","합계","강서구","가양3동",1617,846,771,14678,0.110164872598447
"287","합계","강서구","공항동",1312,782,530,30927,0.0424224787402593
"274","합계","강서구","등촌1동",735,398,337,24991,0.0294105878116122
"275","합계","강서구","등촌2동",719,427,292,19855,0.0362125409216822
"276","합계","강서구","등촌3동",3649,2025,1624,30025,0.121532056619484
"286","합계","강서구","발산1동",1515,870,645,36236,0.0418092504691467
"288","합계","강서구","방화1동",1798,1099,699,42851,0.0419593475064759
"289","합계","강서구","방화2동",1588,927,661,23371,0.0679474562491977
"290","합계","강서구","방화3동",1987,1120,867,22544,0.088138750887154
"272","합계","강서구","소계",28508,16540,11968,574638,0.0496103633939976
"273","합계","강서구","염창동",1065,660,405,41628,0.025583741712309
"292","합계","강서구","우장산동",1246,745,501,42883,0.0290558029988574
"291","합계","강서구","화곡1동",2093,1254,839,52647,0.0397553516819572
"278","합계","강서구","화곡2동",772,465,307,17785,0.043407365757661
"279","합계","강서구","화곡3동",828,473,355,21603,0.0383280099986113
"280","합계","강서구","화곡4동",984,581,403,20514,0.0479672418835917
"281","합계","강서구","화곡6동",990,591,399,25303,0.039125795360234
