"","동별.1.","동별.2.","동별.3.","계","남자","여자","pop","ratio","lat","long"
"417","합계","강남구","개포1동",221,140,81,6922,0.0319271886737937,37.4827409,127.055737
"426","합계","강남구","개포2동",558,336,222,29032,0.0192201708459631,37.4897723,127.0689523
"418","합계","강남구","개포4동",619,368,251,23639,0.0261855408435213,37.4788183,127.0516374
"407","합계","강남구","논현1동",548,338,210,22080,0.0248188405797101,37.5115706,127.028461
"408","합계","강남구","논현2동",482,298,184,20814,0.02315749015086,37.517342,127.037213
"411","합계","강남구","대치1동",279,164,115,23846,0.011700075484358,37.4931821,127.0567047
"425","합계","강남구","대치2동",604,387,217,37098,0.0162812011429188,37.5022848,127.0642072
"412","합계","강남구","대치4동",369,210,159,19491,0.0189318146837002,37.4997415,127.0579127
"415","합계","강남구","도곡1동",383,217,166,21274,0.0180031963899596,37.488238,127.0390246
"416","합계","강남구","도곡2동",497,315,182,32846,0.015131218413201,37.4837425,127.0464338
"409","합계","강남구","삼성1동",292,185,107,12739,0.0229217364000314,37.5144424,127.062532
"410","합계","강남구","삼성2동",588,371,217,31062,0.0189298821711416,37.5112,127.04595
"422","합계","강남구","세곡동",1927,1133,794,43382,0.0444193444285648,37.4643683,127.1043555
"421","합계","강남구","수서동",2069,1151,918,14402,0.14366060269407,37.4889181,127.104929
"405","합계","강남구","신사동",395,225,170,15876,0.0248803224993701,37.5240101,127.0227814
"423","합계","강남구","압구정동",500,289,211,25902,0.0193035286850436,37.530642,127.030713
"413","합계","강남구","역삼1동",706,415,291,35556,0.0198560017999775,37.4954841,127.0333574
"414","합계","강남구","역삼2동",675,409,266,37269,0.0181115672542864,37.4959674,127.0468034
"420","합계","강남구","일원1동",1077,606,471,14987,0.0718622806432241,37.491839,127.0879629
"419","합계","강남구","일원본동",703,343,360,23015,0.030545296545731,37.4833484,127.0864633
"424","합계","강남구","청담동",479,276,203,25489,0.0187924202597199,37.525107,127.049291
"474","합계","강동구","강일동",1661,947,714,33057,0.0502465438485041,37.5649783,127.173909
"460","합계","강동구","고덕1동",696,416,280,23919,0.0290982064467578,37.5572593,127.1515382
"461","합계","강동구","고덕2동",800,486,314,22764,0.0351432085749429,37.5605,127.16435
"473","합계","강동구","길동",1988,1214,774,45374,0.0438136377661216,37.5345598,127.1426791
"469","합계","강동구","둔촌1동",3,2,1,73,0.0410958904109589,37.5333656,127.1419851
"470","합계","강동구","둔촌2동",925,562,363,24277,0.0381019071549203,37.5332885,127.1419221
"458","합계","강동구","명일1동",816,481,335,25641,0.0318240318240318,37.5512453,127.1443656
"459","합계","강동구","명일2동",456,279,177,17327,0.0263173082472442,37.546366,127.1513427
"466","합계","강동구","성내1동",629,397,232,19900,0.031608040201005,37.5304417,127.122425
"467","합계","강동구","성내2동",1075,662,413,23528,0.0456902414144849,37.532425,127.129563
"468","합계","강동구","성내3동",913,559,354,23071,0.0395734905292358,37.5260101,127.13287
"471","합계","강동구","암사1동",1692,1028,664,34271,0.0493711884683843,37.551508,127.132663
"462","합계","강동구","암사2동",507,293,214,15069,0.0336452319331077,37.5517481,127.1272074
"463","합계","강동구","암사3동",558,304,254,17481,0.0319203706881757,37.5549912,127.1408249
"464","합계","강동구","천호1동",1411,847,564,26670,0.0529058867641545,37.5450159,127.1368066
"472","합계","강동구","천호2동",1648,999,649,33825,0.0487213599408721,37.5435257,127.1254351
"465","합계","강동구","천호3동",1256,747,509,26679,0.0470782263203268,37.5361455,127.1332269
"156","합계","강북구","미아동",1150,645,505,21685,0.053032049804012,37.6270736,127.0269791
"149","합계","강북구","번1동",992,609,383,18578,0.053396490472602,37.6378913,127.0288473
"150","합계","강북구","번2동",1335,739,596,15397,0.0867052023121387,37.6323588,127.0387953
"151","합계","강북구","번3동",1992,1084,908,16449,0.121101586722597,37.625874,127.04665
"159","합계","강북구","삼각산동",1266,681,585,30939,0.0409192281586347,37.6151568,127.0207209
"155","합계","강북구","삼양동",1302,784,518,23090,0.056388046773495,37.6250518,127.0197725
"157","합계","강북구","송중동",1379,818,561,29910,0.0461049816115012,37.616099,127.033738
"158","합계","강북구","송천동",1480,851,629,25998,0.0569274559581506,37.618282,127.023838
"152","합계","강북구","수유1동",1257,734,523,20501,0.0613140822398907,37.6300865,127.0176014
"153","합계","강북구","수유2동",1088,592,496,21054,0.0516766410183338,37.6447027,127.0198777
"154","합계","강북구","수유3동",1136,642,494,23778,0.0477752544368744,37.638715,127.023125
"160","합계","강북구","우이동",1037,575,462,20407,0.0508158965061008,37.6479523,127.0118533
"161","합계","강북구","인수동",1770,1000,770,29916,0.0591656638588047,37.6415105,127.0106307
"283","합계","강서구","가양1동",779,464,315,34359,0.0226723711400215,37.5695239,126.8447099
"284","합계","강서구","가양2동",2422,1419,1003,13902,0.174219536757301,37.5673763,126.8512826
"285","합계","강서구","가양3동",1617,846,771,14678,0.110164872598447,37.561092,126.8605955
"287","합계","강서구","공항동",1312,782,530,30927,0.0424224787402593,37.5588296,126.8101437
"274","합계","강서구","등촌1동",735,398,337,24991,0.0294105878116122,37.5558155,126.8589287
"275","합계","강서구","등촌2동",719,427,292,19855,0.0362125409216822,37.542658,126.8625
