"","호선","역명","승차총승객수"
"3","3호선","가락시장",2883552
"4","8호선","가락시장",2466017
"5","7호선","가산디지털단지",12989211
"14","2호선","강남",26144333
"15","7호선","강남구청",5109345
"17","5호선","강동",5975549
"18","8호선","강동구청",3304658
"20","2호선","강변(동서울터미널)",10719336
"21","5호선","강일",1473694
"23","5호선","개롱",2066070
"27","5호선","개화산",1817515
"28","5호선","거여",3217377
"29","2호선","건대입구",12276102
"30","7호선","건대입구",4354316
"35","3호선","경복궁(정부서울청사)",7741464
"36","3호선","경찰병원",2285780
"39","5호선","고덕",3101868
"40","6호선","고려대(종암)",2770744
"42","3호선","고속터미널",15902543
"43","7호선","고속터미널",5739773
"48","5호선","공덕",4356138
"49","6호선","공덕",5771009
"52","7호선","공릉(서울과학기술대)",3979600
"58","5호선","광나루(장신대)",4493641
"60","7호선","광명사거리",7155114
"62","5호선","광화문(세종문화회관)",9850017
"63","6호선","광흥창(서강)",2889776
"64","2호선","교대(법원.검찰청)",10343221
"65","3호선","교대(법원.검찰청)",4471756
"67","2호선","구로디지털단지",18450835
"71","6호선","구산",2521988
"73","2호선","구의(광진구청)",7648342
"75","3호선","구파발",6870620
"78","5호선","군자(능동)",3688882
"79","7호선","군자(능동)",4900550
"83","5호선","굽은다리(강동구민회관앞)",3149314
"89","3호선","금호",2608554
"91","5호선","길동",2611422
"92","4호선","길음",6866367
"94","5호선","김포공항",2694996
"98","5호선","까치산",9439227
"100","2호선","낙성대(강감찬)",9096160
"101","7호선","남구로",4854751
"103","3호선","남부터미널(예술의전당)",9492108
"104","7호선","남성",3644672
"106","8호선","남위례",1705558
"108","4호선","남태령",434550
"109","8호선","남한산성입구(성남법원.검찰청)",4611784
"110","7호선","내방",4513448
"114","4호선","노원",6292567
"115","7호선","노원",6527727
"116","3호선","녹번",5021156
"117","6호선","녹사평(용산구청)",1754569
"120","7호선","논현",5884828
"122","8호선","단대오거리",3544255
"124","5호선","답십리",5112701
"125","4호선","당고개",3267304
"127","2호선","당산",5923065
"132","2호선","대림(구로구청)",7930367
"133","7호선","대림(구로구청)",2841221
"139","3호선","대청",3232388
"140","3호선","대치",3768937
"142","6호선","대흥(서강대앞)",2778212
"146","3호선","도곡",1651304
"149","2호선","도림천",427085
"151","7호선","도봉산",3047917
"156","3호선","독립문",2393113
"157","6호선","독바위",898064
"159","6호선","돌곶이",3112187
"160","1호선","동대문",3863207
"161","4호선","동대문",6162512
"162","2호선","동대문역사문화공원(DDP)",4244705
"163","4호선","동대문역사문화공원(DDP)",5163083
"164","5호선","동대문역사문화공원(DDP)",888902
"165","3호선","동대입구",3043787
"168","1호선","동묘앞",3196812
"169","6호선","동묘앞",2747149
"172","4호선","동작(현충원)",525504
"175","5호선","둔촌동",2732895
"178","6호선","디지털미디어시티",4405266
"181","2호선","뚝섬",7153238
"182","7호선","뚝섬유원지",3213838
"183","5호선","마곡",3296860
"187","7호선","마들",4193574
"189","5호선","마장",1868030
"190","5호선","마천",2343141
"191","5호선","마포",4455954
"192","6호선","마포구청",4636391
"194","6호선","망원",4785461
"198","3호선","매봉",3821943
"200","7호선","먹골",3342293
"201","7호선","면목",5102259
"202","4호선","명동",7346390
"203","5호선","명일",2840035
"205","8호선","모란",1597972
"207","5호선","목동",5395641
"208","8호선","몽촌토성(평화의문)",2073798
"209","3호선","무악재",1279789
"210","2호선","문래",6777238
"212","8호선","문정",6383286
"214","5호선","미사",5359180
"215","4호선","미아(서울사이버대학)",4917696
"216","4호선","미아사거리",9001341
"218","7호선","반포",1965322
"219","5호선","발산",6579714
"220","2호선","방배",5522010
"221","5호선","방이",2336450
"223","5호선","방화",2181877
"229","6호선","버티고개",691925
"233","7호선","보라매",2744557
"237","6호선","보문",2462388
