연번,호선,역번호,역명,경로,장애,유공자
1,1,150,서울역,1738809,407971,31156
2,1,151,시청,814078,161447,13011
3,1,152,종각,1283102,242896,18474
4,1,153,종로3가,2917042,418217,40317
5,1,154,종로5가,2514663,324073,25307
6,1,155,동대문,1140455,195115,9997
7,1,156,신설동,1127890,185365,10236
8,1,157,제기동,2764406,316144,20239
9,1,158,청량리(서울시립대입구),2518370,358409,24996
10,1,159,동묘앞,1453014,255207,16830
11,2,201,시청,504015,104173,8188
12,2,202,을지로입구,886569,188912,14040
13,2,203,을지로3가,704915,121926,10032
14,2,204,을지로4가,787044,106902,9586
15,2,205,동대문역사문화공원(DDP),513105,94871,5108
16,2,206,신당,899522,148088,10052
17,2,207,상왕십리,606556,124573,5944
18,2,208,왕십리(성동구청),466534,112962,6193
19,2,209,한양대,113536,31288,2566
20,2,210,뚝섬,526904,120276,6682
21,2,211,성수,858528,283516,10200
22,2,212,건대입구,814066,176796,9311
23,2,213,구의(광진구청),943396,184944,9799
24,2,214,강변(동서울터미널),1108865,176153,13134
25,2,215,잠실나루,797527,111990,10281
26,2,216,잠실(송파구청),1807569,347635,27374
27,2,217,잠실새내,1046368,122626,10269
28,2,218,종합운동장,459303,67047,6049
29,2,219,삼성(무역센터),1081634,201055,14439
30,2,220,선릉,2038522,305178,22195
31,2,221,역삼,1356019,258757,19185
32,2,222,강남,1502130,289561,18796
33,2,223,교대(법원.검찰청),1470699,172029,19629
34,2,224,서초,778491,107499,11079
35,2,225,방배,711065,91231,9275
36,2,226,사당,1875656,261848,24118
37,2,227,낙성대(강감찬),988818,172938,10738
38,2,228,서울대입구(관악구청),1686166,288046,19858
39,2,229,봉천,1336497,264921,13300
40,2,230,신림,1943248,402867,21291
41,2,231,신대방,1140420,223754,13376
42,2,232,구로디지털단지,1583225,333570,21660
43,2,233,대림(구로구청),1131352,210009,10309
44,2,234,신도림,1831750,357505,25068
45,2,235,문래,817501,140051,8608
46,2,236,영등포구청,886881,203373,11127
47,2,237,당산,538462,105889,7697
48,2,238,합정,620908,133228,7959
49,2,239,홍대입구,836743,213641,11609
50,2,240,신촌,1103965,223145,10000
51,2,241,이대,439180,83292,3087
52,2,242,아현,599902,105605,5833
53,2,243,충정로(경기대입구),434593,92554,4846
54,2,244,용답,169194,27057,1190
55,2,245,신답,91964,15785,293
56,2,246,신설동,308356,55892,3222
57,2,247,도림천,78620,11173,546
58,2,248,양천구청,458205,72471,3241
59,2,249,신정네거리,663789,111939,6652
60,2,250,용두(동대문구청),220681,36227,1811
61,3,309,지축,254613,53408,3381
62,3,310,구파발,1125071,183405,13385
63,3,311,연신내,2452955,393181,20362
64,3,312,불광,1342234,189220,11429
65,3,313,녹번,733034,116514,9045
66,3,314,홍제,1357680,190518,8203
67,3,315,무악재,287109,37136,2837
68,3,316,독립문,649825,93679,4300
69,3,317,경복궁(정부서울청사),981805,139397,11557
70,3,318,안국,917680,122454,11131
71,3,319,종로3가,539194,103218,6517
72,3,320,을지로3가,473979,67685,6600
