"동별(1)",동별(2),동별(3),계,남자,여자
"합계",소계,소계,391859,227070,164789
"합계",종로구,소계,5834,3364,2470
"합계",종로구,사직동,267,150,117
"합계",종로구,삼청동,110,61,49
"합계",종로구,부암동,311,181,130
"합계",종로구,평창동,491,262,229
"합계",종로구,무악동,325,179,146
"합계",종로구,교남동,347,191,156
"합계",종로구,가회동,174,92,82
"합계",종로구,종로1.2.3.4가동,383,284,99
"합계",종로구,종로5.6가동,258,170,88
"합계",종로구,이화동,312,169,143
"합계",종로구,창신1동,264,154,110
"합계",종로구,창신2동,516,298,218
"합계",종로구,창신3동,341,188,153
"합계",종로구,숭인1동,300,154,146
"합계",종로구,숭인2동,421,263,158
"합계",종로구,청운효자동,437,235,202
"합계",종로구,혜화동,577,333,244
"합계",종로구,기타,0,0,0
"합계",중구,소계,5552,3191,2361
"합계",중구,소공동,32,21,11
"합계",중구,회현동,283,180,103
"합계",중구,명동,112,59,53
"합계",중구,필동,178,106,72
"합계",중구,장충동,198,104,94
"합계",중구,광희동,217,125,92
"합계",중구,을지로동,87,66,21
"합계",중구,신당5동,481,285,196
"합계",중구,황학동,509,304,205
"합계",중구,중림동,527,321,206
"합계",중구,신당동,404,260,144
"합계",중구,다산동,631,356,275
"합계",중구,약수동,842,427,415
"합계",중구,청구동,629,352,277
"합계",중구,동화동,422,225,197
"합계",중구,기타,0,0,0
"합계",용산구,소계,7621,4393,3228
"합계",용산구,후암동,732,406,326
"합계",용산구,용산2가동,456,264,192
"합계",용산구,남영동,519,397,122
"합계",용산구,원효로2동,465,269,196
"합계",용산구,효창동,353,186,167
"합계",용산구,용문동,454,246,208
"합계",용산구,이촌1동,500,281,219
"합계",용산구,이촌2동,341,194,147
"합계",용산구,이태원1동,215,121,94
"합계",용산구,이태원2동,297,161,136
"합계",용산구,서빙고동,364,210,154
"합계",용산구,보광동,586,334,252
"합계",용산구,청파동,805,471,334
"합계",용산구,원효로1동,441,242,199
"합계",용산구,한강로동,503,296,207
"합계",용산구,한남동,590,315,275
"합계",용산구,기타,0,0,0
"합계",성동구,소계,11092,6404,4688
"합계",성동구,왕십리2동,648,346,302
"합계",성동구,마장동,1047,617,430
"합계",성동구,사근동,355,186,169
"합계",성동구,행당1동,503,298,205
"합계",성동구,행당2동,892,497,395
"합계",성동구,응봉동,533,301,232
"합계",성동구,금호1가동,663,359,304
"합계",성동구,금호4가동,538,305,233
"합계",성동구,성수1가1동,580,347,233
"합계",성동구,성수1가2동,448,244,204
"합계",성동구,성수2가1동,728,458,270
"합계",성동구,성수2가3동,409,249,160
