"동별(1)",동별(2),동별(3),소계,남자,여자
"합계",종로구,소계,152211,72980,79231
"합계",종로구,사직동,9355,4191,5164
"합계",종로구,삼청동,2642,1263,1379
"합계",종로구,부암동,9536,4545,4991
"합계",종로구,평창동,17858,8336,9522
"합계",종로구,무악동,8052,3720,4332
"합계",종로구,교남동,9994,4622,5372
"합계",종로구,가회동,4065,1881,2184
"합계",종로구,종로1.2.3.4가동,8700,5044,3656
"합계",종로구,종로5.6가동,5817,3064,2753
"합계",종로구,이화동,7631,3559,4072
"합계",종로구,창신1동,5383,2844,2539
"합계",종로구,창신2동,8796,4485,4311
"합계",종로구,창신3동,6606,3262,3344
"합계",종로구,숭인1동,6057,2889,3168
"합계",종로구,숭인2동,10509,5052,5457
"합계",종로구,청운효자동,11818,5448,6370
"합계",종로구,혜화동,19392,8775,10617
"합계",중구,소계,130785,63377,67408
"합계",중구,소공동,3578,1807,1771
"합계",중구,회현동,5222,2694,2528
"합계",중구,명동,3638,1637,2001
"합계",중구,필동,4816,2439,2377
"합계",중구,장충동,5326,2765,2561
"합계",중구,광희동,6682,3291,3391
"합계",중구,을지로동,1912,1127,785
"합계",중구,신당5동,10513,5091,5422
"합계",중구,황학동,13459,6338,7121
"합계",중구,중림동,12338,6129,6209
"합계",중구,신당동,9087,4367,4720
"합계",중구,다산동,13954,6720,7234
"합계",중구,약수동,16610,7702,8908
"합계",중구,청구동,13451,6375,7076
"합계",중구,동화동,10199,4895,5304
"합계",용산구,소계,233284,113012,120272
"합계",용산구,후암동,16812,8194,8618
"합계",용산구,용산2가동,10333,5062,5271
"합계",용산구,남영동,7552,4545,3007
"합계",용산구,원효로1동,17774,8303,9471
"합계",용산구,원효로2동,13795,6499,7296
"합계",용산구,효창동,10888,5174,5714
"합계",용산구,용문동,11664,5585,6079
"합계",용산구,이촌1동,25707,12123,13584
"합계",용산구,이촌2동,8094,3774,4320
"합계",용산구,이태원1동,7947,4187,3760
"합계",용산구,이태원2동,10427,4903,5524
"합계",용산구,서빙고동,13458,6501,6957
"합계",용산구,보광동,14060,7234,6826
"합계",용산구,청파동,19833,9135,10698
"합계",용산구,한강로동,22886,10951,11935
"합계",용산구,한남동,22054,10842,11212
"합계",성동구,소계,288234,139691,148543
"합계",성동구,왕십리2동,16688,8018,8670
"합계",성동구,마장동,22706,11130,11576
"합계",성동구,사근동,14082,7029,7053
"합계",성동구,행당1동,13996,6698,7298
"합계",성동구,행당2동,23148,10789,12359
"합계",성동구,응봉동,15100,7189,7911
"합계",성동구,금호1가동,15137,7220,7917
"합계",성동구,금호4가동,14228,6737,7491
"합계",성동구,성수1가1동,16407,8159,8248
"합계",성동구,성수1가2동,12322,6033,6289
"합계",성동구,성수2가1동,15716,8174,7542
"합계",성동구,성수2가3동,10520,5230,5290
"합계",성동구,송정동,10464,5534,4930
"합계",성동구,용답동,12551,6357,6194
"합계",성동구,왕십리도선동,26903,12657,14246
"합계",성동구,금호2.3가동,22423,10713,11710
"합계",성동구,옥수동,25843,12024,13819
"합계",광진구,소계,351252,168197,183055
"합계",광진구,화양동,27082,12379,14703
"합계",광진구,군자동,21524,10559,10965
"합계",광진구,중곡1동,15663,7480,8183
"합계",광진구,중곡2동,21336,10032,11304
"합계",광진구,중곡3동,16177,7990,8187
"합계",광진구,중곡4동,28405,13848,14557
"합계",광진구,능동,11561,5308,6253
"합계",광진구,구의1동,24049,11414,12635
"합계",광진구,구의2동,26573,12731,13842
"합계",광진구,구의3동,28440,13400,15040
"합계",광진구,광장동,34362,16610,17752
"합계",광진구,자양1동,22709,11005,11704
"합계",광진구,자양2동,24253,11751,12502
"합계",광진구,자양3동,27858,13289,14569
"합계",광진구,자양4동,21260,10401,10859
"합계",동대문구,소계,353601,171903,181698
"합계",동대문구,전농1동,29220,14515,14705
"합계",동대문구,전농2동,18629,8876,9753
"합계",동대문구,답십리1동,28530,13741,14789
"합계",동대문구,답십리2동,28055,13568,14487
"합계",동대문구,장안1동,38677,19053,19624
"합계",동대문구,장안2동,32685,16190,16495
"합계",동대문구,회기동,13536,6131,7405
"합계",동대문구,휘경1동,16339,7361,8978
"합계",동대문구,휘경2동,24666,12209,12457
"합계",동대문구,이문1동,21366,10129,11237
"합계",동대문구,이문2동,20183,9714,10469
"합계",동대문구,청량리동,19094,9476,9618
"합계",동대문구,용신동,36137,17759,18378
"합계",동대문구,제기동,26484,13181,13303
"합계",중랑구,소계,390140,191422,198718
"합계",중랑구,면목2동,24206,12017,12189
"합계",중랑구,면목4동,18746,9295,9451
"합계",중랑구,면목5동,14836,7413,7423
"합계",중랑구,면목7동,21798,10860,10938
"합계",중랑구,상봉1동,23714,11491,12223
"합계",중랑구,상봉2동,20612,9861,10751
"합계",중랑구,중화1동,19293,9462,9831
"합계",중랑구,중화2동,24926,12755,12171
"합계",중랑구,묵1동,34344,16413,17931
"합계",중랑구,묵2동,18624,9103,9521
"합계",중랑구,망우3동,16303,8186,8117
"합계",중랑구,신내1동,38205,18445,19760
"합계",중랑구,신내2동,20155,9566,10589
"합계",중랑구,면목본동,33856,16676,17180
"합계",중랑구,면목3.8동,24617,12174,12443
"합계",중랑구,망우본동,35905,17705,18200
"합계",성북구,소계,441984,211246,230738
"합계",성북구,돈암1동,14474,6747,7727
"합계",성북구,돈암2동,23657,11174,12483
"합계",성북구,안암동,17118,8275,8843
"합계",성북구,보문동,16712,7979,8733
"합계",성북구,정릉1동,18197,8670,9527
"합계",성북구,정릉2동,22911,11034,11877
"합계",성북구,정릉3동,16567,8106,8461
"합계",성북구,정릉4동,24911,11835,13076
"합계",성북구,길음1동,35000,16560,18440
"합계",성북구,길음2동,21728,10450,11278
